year,occurrence,"Total deaths",Injured,Affected,Homeless,"Total affected","Total damage  ('000 US$)"
1900,4,1267300,,,,,30000
1902,1,600,,,,,
1903,6,489,23,,,23,480000
1904,1,,,,,,
1905,2,258,18,,,18,
1906,6,10304,,,,,20000
1908,1,33,,,,,
1909,7,838,,,,,
1910,12,86471,,32000,,32000,
1911,4,101073,,,200,200,20000
1912,5,51170,200,,97320,97520,35000
1913,1,732,,,,,200000
1914,1,,,,,,
1915,4,2181,22,3000000,,3000022,60000
1916,1,300,,,,,
1917,3,4057,,635000,,635000,50000
1918,2,1034,,,,,100000
1919,3,500,,,,,25000
1920,4,524224,,20000000,,20000000,20000
1921,1,1200000,,5000000,,5000000,
1922,4,100143,,,11000,11000,8000
1923,7,3339,,,26300,26300,10000
1924,2,2242,,1000000,,1000000,
1925,4,819,,,,,37000
1926,13,4696,,,40000,40000,104000
1927,6,9018,10,40000,,40010,22230
1928,10,3004260,,6000,2000,8000,75000
1929,3,60,,,,,55000
1930,6,4122,6000,6000,,12000,40000
1931,7,3703390,,25000,,25000,1407500
1932,6,3274,,,2500,2500,30000
1933,6,18116,,,3600000,3600000,3000
1934,5,5591,,,,,50000
1935,8,204707,500,10030000,,10030500,8000
1936,9,5275,,,150000,150000,21000
1937,6,11519,,,,,438000
1938,5,2059,,,,,306000
1939,5,500084,,,3900,3900,
1940,13,20248,,,2000,2000,
1941,3,10006,,,,,
1942,4,1601000,,,,,
1943,6,1905990,,30000,,30000,900000
1944,7,896,,,14100,14100,100000
1945,7,4415,,1881672,2000,1883672,400000
1946,6,30337,,,,,500
1947,10,6738,,,,,130000
1948,17,4413,300,414153,,414453,18000
1949,12,111884,,194046,,194046,15000
1950,18,4811,,10774117,,10774117,201000
1951,21,8688,200,398534,173500,572234,1505250
1952,14,2504,1252,1000000,,1001252,52000
1953,26,9608,,3187110,4000,3191110,377000
1954,27,38491,,297429,5466,302895,881000
1955,26,5067,6,,377000,377006,877000
1956,29,6974,,1000000,77000,1077000,
1957,20,3610,111,518240,,518351,150000
1958,19,3723,,25000,,25000,520000
1959,30,2013139,,1514600,,1514600,672200
1960,30,19793,377,811000,1000,812377,454041
1961,26,17281,,1310384,3171,1313555,480400
1962,25,5161,,40000,,40000,1499000
1963,35,33341,10,6093800,2200,6096010,879090
1964,52,11936,2224,7569992,196900,7769116,1292350
1965,53,1563663,617206,116978013,5088414,122683633,2319618
1966,67,13141,3966,9938288,2040063,11982317,2512731
1967,60,5953,2964,5725118,214468,5942550,1444826
1968,61,10336,101260,25308732,975128,26385120,543669
1969,52,4814,20025,11417583,64327,11501935,2334779
1970,66,307969,6672,43229488,539098,43775258,2474844
1971,53,14666,2347,7199056,2065800,9267203,868589
1972,58,4840,1715,216086536,747502,216835753,3224413
1973,55,110003,16183,11708074,154450,11878707,2381693
1974,64,61196,1907,42841318,2100941,44944166,4051689
1975,57,22224,948,43998978,7084428,51084354,3264365
1976,66,3038,1854,17489650,331384,17822888,3596947
1977,102,17909,18790,20909788,5874810,26803388,8083168
1978,104,9874,9203,51924417,254029,52187649,4950521
1979,91,4487,8041,60077989,579363,60665393,4007708
1980,107,13584,28341,71496516,2224379,73749236,6560960
1981,120,112802,46531,31452409,293043,31791983,12009519
1982,132,8811,27421,148967509,1068409,150063339,9143443
1983,173,458194,4602,103227124,1341986,104573712,15612397
1984,126,8563,4832,61477024,1893590,63375446,9278957
1985,141,22725,6263,22776408,1470143,24252814,10518100
1986,127,4376,10441,26310478,4341199,30662118,11108692
1987,170,13781,8974,371745655,1442691,373197320,12841440
1988,177,15192,16054,178499561,4719231,183234846,11982112
1989,152,10091,29969,170395475,1919094,172344538,20555940
1990,233,8048,10541,80016653,1701092,81728286,39424372
1991,189,155888,183717,274567960,6592865,281344542,36584961
1992,174,8204,273610,62005229,4484541,66763380,52334013
1993,234,10983,14073,169878069,1108351,171000493,49221901
1994,215,11742,34327,257096435,9193196,266323958,40600898
1995,217,14999,79507,214777127,5463739,220320373,53680517
1996,209,14128,296210,208409150,5108106,213813466,42738343
1997,234,16238,46781,65674231,2987740,68708752,35292103
1998,254,40168,145945,309826856,29181456,339154257,82910940
1999,299,48724,42496,268779519,5162818,273984833,70535561
2000,376,9470,7892,169151632,1389196,170548720,45809319
2001,345,9630,99234,97944083,870681,98913998,19694734
2002,377,10741,47477,656691297,186341,656925115,50001438
2003,318,80419,163985,248315744,2255356,250735085,61586299
2004,303,14235,1835287,155282404,1400716,158518407,97608448
2005,399,13413,10335,152595798,1114757,153720890,207500251
2006,365,16794,28500,116384924,5358133,121771557,30523496
2007,387,16147,67009,209806681,1082898,210956588,59448257
2008,322,147398,25404,171015434,2825395,173866233,105053247
2009,320,9249,40135,197107247,381352,197528734,40743233
2010,363,90701,14794,248134861,1511793,249661448,84893436
2011,298,10020,37186,208045858,1756220,209839264,133691318
2012,319,9021,21994,119467593,922593,120412180,138165118
2013,299,20571,98857,91219427,314383,91632667,111482330
2014,288,7070,32047,136241039,1340717,137613803,90735314
2015,356,13327,46616,420952978,427762,421427356,77010547
2016,294,7041,13887,201514982,2427004,203955873,114283021
2017,315,8691,7181,92845996,594341,93447518,327929430.92
2018,197,4593,51557,25427723,108984,25588264,33768399


"Created on: November 18, 2018"
"Source: EM-DAT: The Emergency Events Database - Universite catholique de Louvain (UCL) - CRED, D. Guha-Sapir - www.emdat.be, Brussels, Belgium"